20,30,45,60,75,90,0
0.1,0.15,0.2,0.22,0.27,0.3,0
1,1.05,1.1,1.16,1.22,1.28,0.1
1.49,1.57,1.64,1.73,1.81,1.9,0.25
4.93,5.17,5.43,5.7,5.99,7,0.5
14,15,16,16,17,18,0.75
32,34,36,38,39,41,1
62,65,69,72,76,80,1.25
107,112,118,124,130,137,1.5
169,178,187,196,206,216,1.75
252,265,278,292,307,322,2
359,377,396,415,436,458,2.25
492,516,542,569,598,628,2.5
654,687,721,757,795,835,2.75
849,892,936,983,1032,1084,3
